entry_time,exit_time,duration_min,direction,entry_price,exit_price,sl,tp,status,pnl
2024-01-05 06:00:00,2024-01-05 07:00:00,60.0,buy,183.802,183.59228,183.59228,184.22144,lost,-0.20972
2024-01-05 06:15:00,2024-01-05 07:00:00,45.0,buy,183.727,183.5914,183.5914,183.99819,lost,-0.1356
2024-01-05 06:30:00,2024-01-05 07:00:00,30.0,buy,183.701,183.59302,183.59302,183.91696,lost,-0.10798
2024-01-05 06:45:00,2024-01-05 07:00:00,15.0,buy,183.652,183.58512,183.58512,183.78575,lost,-0.06688
2024-01-05 04:00:00,2024-01-05 07:15:00,195.0,buy,183.735,183.44263,183.44263,184.31973,lost,-0.29237
2024-01-05 04:15:00,2024-01-05 07:15:00,180.0,buy,183.656,183.44395,183.44395,184.08011,lost,-0.21205
2024-01-05 04:30:00,2024-01-05 07:15:00,165.0,buy,183.701,183.45095,183.45095,184.2011,lost,-0.25005
2024-01-05 04:45:00,2024-01-05 07:15:00,150.0,buy,183.721,183.51874,183.51874,184.12552,lost,-0.20226
2024-01-05 05:00:00,2024-01-05 07:15:00,135.0,buy,183.712,183.51922,183.51922,184.09756,lost,-0.19278
2024-01-05 05:15:00,2024-01-05 07:15:00,120.0,buy,183.741,183.5546,183.5546,184.1138,lost,-0.1864
2024-01-05 05:30:00,2024-01-05 07:15:00,105.0,buy,183.819,183.55531,183.55531,184.34639,lost,-0.26369
2024-01-05 05:45:00,2024-01-05 07:15:00,90.0,buy,183.783,183.55603,183.55603,184.23693,lost,-0.22697
2024-01-05 07:00:00,2024-01-05 07:15:00,15.0,buy,183.578,183.52426,183.52426,183.68548,lost,-0.05374
2024-01-05 07:15:00,2024-01-05 07:15:00,,buy,183.428,183.56231,183.36085,183.56231,won,0.13431
2024-01-05 03:45:00,2024-01-05 07:30:00,225.0,buy,183.726,183.41234,183.41234,184.35333,lost,-0.31366
2024-01-05 07:30:00,2024-01-05 08:00:00,30.0,buy,183.4,183.50357,183.34821,183.50357,won,0.10357
2024-01-05 07:45:00,2024-01-05 08:00:00,15.0,buy,183.437,183.61553,183.34774,183.61553,won,0.17853
2024-01-05 10:45:00,2024-01-05 12:00:00,75.0,buy,183.696,183.87823,183.60489,183.87823,won,0.18223
2024-01-05 11:00:00,2024-01-05 14:15:00,195.0,buy,183.688,183.93321,183.56539,183.93321,won,0.24521
2024-01-05 15:15:00,2024-01-05 15:15:00,,buy,183.646,183.79748,183.57026,183.79748,won,0.15148
2024-01-05 03:30:00,2024-01-05 15:30:00,720.0,buy,183.673,184.22543,183.39678,184.22543,won,0.55243
2024-01-05 11:15:00,2024-01-05 15:30:00,255.0,buy,183.784,184.22098,183.56551,184.22098,won,0.43698
2024-01-05 11:30:00,2024-01-05 15:30:00,240.0,buy,183.719,184.02727,183.56487,184.02727,won,0.30827
2024-01-05 12:45:00,2024-01-05 15:30:00,165.0,buy,183.788,184.22593,183.56904,184.22593,won,0.43793
2024-01-05 13:45:00,2024-01-05 15:30:00,105.0,buy,183.814,184.22794,183.60703,184.22794,won,0.41394
2024-01-05 14:30:00,2024-01-05 15:30:00,60.0,buy,183.773,184.06209,183.62845,184.06209,won,0.28909
2024-01-05 14:45:00,2024-01-05 15:30:00,45.0,buy,183.715,183.94373,183.60063,183.94373,won,0.22873
2024-01-05 08:00:00,2024-01-05 15:45:00,465.0,buy,183.645,184.24935,183.34283,184.24935,won,0.60435
2024-01-05 11:45:00,2024-01-05 15:45:00,240.0,buy,183.795,184.25454,183.56523,184.25454,won,0.45954
2024-01-05 14:15:00,2024-01-05 15:45:00,90.0,buy,183.844,184.27826,183.62687,184.27826,won,0.43426
2024-01-05 12:00:00,2024-01-05 17:15:00,315.0,buy,183.856,183.56604,183.56604,184.43593,lost,-0.28996
2024-01-05 12:15:00,2024-01-05 17:15:00,300.0,buy,183.929,183.56782,183.56782,184.65136,lost,-0.36118
2024-01-05 12:30:00,2024-01-05 17:15:00,285.0,buy,183.864,183.56915,183.56915,184.45369,lost,-0.29485
2024-01-05 13:00:00,2024-01-05 17:15:00,255.0,buy,183.884,183.56778,183.56778,184.51643,lost,-0.31622
2024-01-05 13:15:00,2024-01-05 17:15:00,240.0,buy,183.848,183.56958,183.56958,184.40483,lost,-0.27842
2024-01-05 13:30:00,2024-01-05 17:15:00,225.0,buy,183.852,183.59415,183.59415,184.3677,lost,-0.25785
2024-01-05 14:00:00,2024-01-05 17:15:00,195.0,buy,183.901,183.62771,183.62771,184.44758,lost,-0.27329
2024-01-05 15:00:00,2024-01-05 17:15:00,135.0,buy,183.872,183.59113,183.59113,184.43375,lost,-0.28087
2024-01-05 15:30:00,2024-01-05 17:15:00,105.0,buy,184.2,183.55206,183.55206,185.49588,lost,-0.64794
2024-01-05 17:15:00,2024-01-05 18:45:00,90.0,buy,183.641,184.05378,183.43461,184.05378,won,0.41278
2024-01-05 21:15:00,2024-01-05 23:45:00,150.0,buy,184.109,183.95871,183.95871,184.40958,lost,-0.15029
2024-01-05 21:30:00,2024-01-05 23:45:00,135.0,buy,184.095,183.96116,183.96116,184.36268,lost,-0.13384
2024-01-05 22:45:00,2024-01-05 23:45:00,60.0,buy,184.117,183.91665,183.91665,184.51771,lost,-0.20035
2024-01-05 23:00:00,2024-01-05 23:45:00,45.0,buy,184.101,183.91931,183.91931,184.46437,lost,-0.18169
2024-01-05 23:15:00,2024-01-05 23:45:00,30.0,buy,184.026,183.91997,183.91997,184.23806,lost,-0.10603
2024-01-05 23:30:00,2024-01-05 23:45:00,15.0,buy,184.012,183.91829,183.91829,184.19941,lost,-0.09371
2024-01-05 20:45:00,2024-01-08 00:00:00,3075.0,buy,184.153,183.78296,183.78296,184.89308,lost,-0.37004
2024-01-05 21:00:00,2024-01-08 00:00:00,3060.0,buy,184.136,183.80254,183.80254,184.80293,lost,-0.33346
2024-01-05 21:45:00,2024-01-08 00:00:00,3015.0,buy,184.058,183.90579,183.90579,184.36242,lost,-0.15221
