date,balance,equity
2025-08-02,9916.69,9916.69
2025-08-03,9916.69,9916.69
2025-08-04,9916.69,9916.69
2025-08-05,9916.69,9916.69
2025-08-06,9916.69,9916.69
2025-08-07,9916.69,9916.69
2025-08-08,9916.69,9916.69
2025-08-09,9916.69,9916.69
2025-08-10,9916.69,9916.69
