Time,Open,High,Low,Close,Volume
2024-01-02 00:00:00,140.848,140.872,140.842,140.853,35
2024-01-02 00:15:00,140.853,140.939,140.847,140.895,137
2024-01-02 00:30:00,140.895,140.969,140.868,140.893,115
2024-01-02 00:45:00,140.893,140.9,140.861,140.875,127
2024-01-02 01:00:00,140.887,140.912,140.809,140.82,439
2024-01-02 01:15:00,140.82,140.936,140.819,140.933,584
2024-01-02 01:30:00,140.933,140.972,140.902,140.969,428
2024-01-02 01:45:00,140.968,141.13,140.967,141.111,777
2024-01-02 02:00:00,141.118,141.175,141.096,141.17,667
2024-01-02 02:15:00,141.17,141.382,141.157,141.305,741
2024-01-02 02:30:00,141.314,141.333,141.234,141.278,503
2024-01-02 02:45:00,141.278,141.304,141.141,141.143,654
2024-01-02 03:00:00,141.148,141.25,141.14,141.247,882
2024-01-02 03:15:00,141.245,141.346,141.208,141.332,655
2024-01-02 03:30:00,141.332,141.459,141.298,141.369,960
2024-01-02 03:45:00,141.369,141.441,141.355,141.44,503
2024-01-02 04:00:00,141.44,141.441,141.39,141.397,403
2024-01-02 04:15:00,141.397,141.404,141.363,141.402,524
2024-01-02 04:30:00,141.402,141.668,141.387,141.487,977
2024-01-02 04:45:00,141.487,141.593,141.48,141.561,837
2024-01-02 05:00:00,141.561,141.611,141.519,141.532,660
2024-01-02 05:15:00,141.529,141.67,141.515,141.659,707
2024-01-02 05:30:00,141.659,141.659,141.574,141.597,672
2024-01-02 05:45:00,141.597,141.601,141.493,141.501,475
2024-01-02 06:00:00,141.504,141.573,141.462,141.558,681
2024-01-02 06:15:00,141.558,141.586,141.54,141.55,403
2024-01-02 06:30:00,141.55,141.574,141.52,141.569,421
2024-01-02 06:45:00,141.569,141.583,141.531,141.537,326
2024-01-02 07:00:00,141.538,141.538,141.435,141.455,500
2024-01-02 07:15:00,141.455,141.473,141.429,141.458,491
2024-01-02 07:30:00,141.457,141.478,141.41,141.447,670
2024-01-02 07:45:00,141.448,141.449,141.344,141.35,533
2024-01-02 08:00:00,141.347,141.399,141.338,141.399,557
2024-01-02 08:15:00,141.399,141.43,141.352,141.393,603
2024-01-02 08:30:00,141.392,141.446,141.362,141.414,676
2024-01-02 08:45:00,141.414,141.554,141.397,141.522,728
2024-01-02 09:00:00,141.522,141.605,141.455,141.484,1286
2024-01-02 09:15:00,141.485,141.53,141.415,141.442,1152
2024-01-02 09:30:00,141.439,141.454,141.388,141.451,1178
2024-01-02 09:45:00,141.451,141.555,141.448,141.546,1412
2024-01-02 10:00:00,141.542,141.553,141.324,141.345,1826
2024-01-02 10:15:00,141.346,141.427,141.292,141.408,1500
2024-01-02 10:30:00,141.408,141.527,141.386,141.471,1609
2024-01-02 10:45:00,141.471,141.592,141.468,141.554,1353
2024-01-02 11:00:00,141.553,141.672,141.507,141.643,1260
2024-01-02 11:15:00,141.643,141.668,141.517,141.519,1242
2024-01-02 11:30:00,141.52,141.525,141.378,141.439,1192
2024-01-02 11:45:00,141.439,141.557,141.436,141.554,1281
2024-01-02 12:00:00,141.556,141.722,141.507,141.674,1106
2024-01-02 12:15:00,141.673,141.771,141.612,141.65,1487
2024-01-02 12:30:00,141.647,141.67,141.567,141.627,1328
2024-01-02 12:45:00,141.629,141.667,141.554,141.649,1148
2024-01-02 13:00:00,141.651,141.731,141.59,141.708,1240
2024-01-02 13:15:00,141.708,141.746,141.663,141.717,1354
2024-01-02 13:30:00,141.719,141.886,141.719,141.878,1625
2024-01-02 13:45:00,141.878,141.884,141.78,141.825,958
2024-01-02 14:00:00,141.826,141.876,141.79,141.875,1010
2024-01-02 14:15:00,141.875,142.074,141.875,142.063,1457
2024-01-02 14:30:00,142.057,142.199,142.049,142.17,1320
2024-01-02 14:45:00,142.17,142.213,142.112,142.116,1497
2024-01-02 15:00:00,142.115,142.153,141.999,142.024,1865
2024-01-02 15:15:00,142.024,142.045,141.945,141.968,1679
2024-01-02 15:30:00,141.967,141.968,141.885,141.903,1512
2024-01-02 15:45:00,141.902,142.161,141.891,142.15,1609
2024-01-02 16:00:00,142.147,142.173,141.99,142.032,1744
2024-01-02 16:15:00,142.032,142.037,141.742,141.81,1979
2024-01-02 16:30:00,141.814,141.893,141.739,141.871,2546
2024-01-02 16:45:00,141.864,141.873,141.515,141.554,2670
2024-01-02 17:00:00,141.549,141.694,141.497,141.662,2359
2024-01-02 17:15:00,141.659,141.734,141.645,141.704,2053
2024-01-02 17:30:00,141.705,141.934,141.695,141.933,2336
2024-01-02 17:45:00,141.933,142.016,141.893,141.926,1998
2024-01-02 18:00:00,141.924,142.0,141.712,141.759,1932
2024-01-02 18:15:00,141.761,141.839,141.734,141.778,1635
2024-01-02 18:30:00,141.782,141.953,141.781,141.95,1322
2024-01-02 18:45:00,141.95,141.953,141.862,141.894,1133
2024-01-02 19:00:00,141.894,141.965,141.881,141.931,911
2024-01-02 19:15:00,141.931,141.977,141.899,141.923,1027
2024-01-02 19:30:00,141.926,141.964,141.896,141.962,837
2024-01-02 19:45:00,141.962,141.999,141.958,141.973,1032
2024-01-02 20:00:00,141.972,141.991,141.901,141.922,693
2024-01-02 20:15:00,141.923,141.929,141.851,141.877,617
2024-01-02 20:30:00,141.877,141.999,141.874,141.997,480
2024-01-02 20:45:00,141.996,141.997,141.947,141.953,597
2024-01-02 21:00:00,141.951,141.952,141.911,141.949,490
2024-01-02 21:15:00,141.949,141.973,141.912,141.915,561
2024-01-02 21:30:00,141.915,141.949,141.901,141.949,412
2024-01-02 21:45:00,141.949,142.001,141.94,141.947,572
2024-01-02 22:00:00,141.948,141.969,141.899,141.923,446
2024-01-02 22:15:00,141.923,141.924,141.846,141.88,652
2024-01-02 22:30:00,141.88,141.882,141.804,141.832,674
2024-01-02 22:45:00,141.832,141.973,141.824,141.966,744
2024-01-02 23:00:00,141.964,142.017,141.946,141.98,687
2024-01-02 23:15:00,141.978,142.009,141.949,141.989,284
2024-01-02 23:30:00,141.988,141.997,141.946,141.99,235
2024-01-02 23:45:00,141.986,141.999,141.974,141.992,262
2024-01-03 00:00:00,141.902,141.948,141.902,141.945,36
2024-01-03 00:15:00,141.945,141.962,141.923,141.956,54
2024-01-03 00:30:00,141.956,141.976,141.942,141.967,141
2024-01-03 00:45:00,141.97,142.03,141.94,142.018,321
2024-01-03 01:00:00,142.01,142.087,142.004,142.074,225
2024-01-03 01:15:00,142.075,142.112,142.071,142.103,586
2024-01-03 01:30:00,142.103,142.144,142.099,142.102,625
2024-01-03 01:45:00,142.101,142.181,142.099,142.174,663
2024-01-03 02:00:00,142.174,142.174,142.013,142.016,894
2024-01-03 02:15:00,142.016,142.033,141.891,141.92,767
2024-01-03 02:30:00,141.92,141.963,141.858,141.912,932
2024-01-03 02:45:00,141.91,141.973,141.91,141.954,748
2024-01-03 03:00:00,141.955,142.001,141.927,141.957,504
2024-01-03 03:15:00,141.957,142.136,141.957,142.031,722
2024-01-03 03:30:00,142.033,142.035,141.913,141.937,706
2024-01-03 03:45:00,141.936,142.018,141.907,142.016,562
2024-01-03 04:00:00,142.015,142.063,141.987,142.027,575
2024-01-03 04:15:00,142.027,142.049,141.986,142.033,610
2024-01-03 04:30:00,142.033,142.053,142.018,142.034,396
2024-01-03 04:45:00,142.034,142.051,142.015,142.038,587
2024-01-03 05:00:00,142.038,142.045,141.931,142.017,480
2024-01-03 05:15:00,142.018,142.019,141.944,141.962,314
2024-01-03 05:30:00,141.961,141.97,141.925,141.925,544
2024-01-03 05:45:00,141.925,141.927,141.879,141.889,914
2024-01-03 06:00:00,141.889,141.928,141.856,141.923,514
2024-01-03 06:15:00,141.923,141.926,141.893,141.921,496
2024-01-03 06:30:00,141.921,141.944,141.914,141.923,440
2024-01-03 06:45:00,141.923,141.936,141.896,141.906,591
2024-01-03 07:00:00,141.906,142.035,141.905,142.035,569
2024-01-03 07:15:00,142.035,142.035,141.985,142.007,514
2024-01-03 07:30:00,142.007,142.01,141.954,142.005,511
2024-01-03 07:45:00,142.005,142.134,142.005,142.12,704
2024-01-03 08:00:00,142.121,142.131,142.014,142.055,663
2024-01-03 08:15:00,142.055,142.089,142.024,142.051,489
2024-01-03 08:30:00,142.05,142.101,142.031,142.092,482
2024-01-03 08:45:00,142.103,142.131,142.075,142.091,652
2024-01-03 09:00:00,142.086,142.324,142.037,142.321,1076
2024-01-03 09:15:00,142.321,142.433,142.295,142.346,1687
2024-01-03 09:30:00,142.346,142.425,142.314,142.421,1845
2024-01-03 09:45:00,142.421,142.468,142.403,142.418,1175
2024-01-03 10:00:00,142.42,142.49,142.397,142.425,1769
2024-01-03 10:15:00,142.422,142.611,142.396,142.599,1651
2024-01-03 10:30:00,142.6,142.631,142.541,142.568,1495
2024-01-03 10:45:00,142.568,142.643,142.549,142.575,1350
2024-01-03 11:00:00,142.576,142.667,142.56,142.638,1390
2024-01-03 11:15:00,142.639,142.711,142.521,142.536,1585
2024-01-03 11:30:00,142.536,142.654,142.499,142.645,1282
2024-01-03 11:45:00,142.648,142.669,142.599,142.638,1236
2024-01-03 12:00:00,142.636,142.694,142.599,142.67,874
2024-01-03 12:15:00,142.67,142.793,142.659,142.773,1207
2024-01-03 12:30:00,142.775,142.776,142.641,142.647,832
2024-01-03 12:45:00,142.648,142.681,142.616,142.649,744
2024-01-03 13:00:00,142.65,142.749,142.591,142.695,1129
2024-01-03 13:15:00,142.695,142.801,142.685,142.793,886
2024-01-03 13:30:00,142.793,142.876,142.787,142.865,1571
2024-01-03 13:45:00,142.865,142.981,142.837,142.932,1218
2024-01-03 14:00:00,142.931,142.988,142.839,142.839,1136
2024-01-03 14:15:00,142.839,142.953,142.788,142.934,1360
2024-01-03 14:30:00,142.936,142.979,142.901,142.931,1235
2024-01-03 14:45:00,142.931,142.946,142.846,142.933,1540
2024-01-03 15:00:00,142.936,143.047,142.92,142.949,1457
2024-01-03 15:15:00,142.949,143.065,142.924,142.958,1728
2024-01-03 15:30:00,142.958,142.98,142.817,142.931,2008
2024-01-03 15:45:00,142.932,143.087,142.913,143.017,1724
2024-01-03 16:00:00,143.016,143.113,142.962,143.105,1859
2024-01-03 16:15:00,143.103,143.266,143.08,143.246,1732
2024-01-03 16:30:00,143.248,143.411,143.248,143.315,2242
2024-01-03 16:45:00,143.314,143.341,143.141,143.182,2013
2024-01-03 17:00:00,143.227,143.309,142.811,143.206,3395
2024-01-03 17:15:00,143.2,143.473,143.2,143.43,2573
2024-01-03 17:30:00,143.434,143.701,143.394,143.564,2546
2024-01-03 17:45:00,143.565,143.728,143.565,143.6,2379
2024-01-03 18:00:00,143.6,143.6,143.423,143.468,2102
2024-01-03 18:15:00,143.467,143.467,143.339,143.435,1813
2024-01-03 18:30:00,143.433,143.439,143.374,143.426,1443
2024-01-03 18:45:00,143.425,143.559,143.416,143.556,1219
2024-01-03 19:00:00,143.558,143.596,143.504,143.595,976
2024-01-03 19:15:00,143.595,143.599,143.495,143.541,1122
2024-01-03 19:30:00,143.539,143.728,143.529,143.708,1030
2024-01-03 19:45:00,143.708,143.708,143.588,143.606,1003
2024-01-03 20:00:00,143.601,143.67,143.512,143.659,1360
2024-01-03 20:15:00,143.659,143.669,143.554,143.601,1046
2024-01-03 20:30:00,143.604,143.65,143.552,143.567,881
2024-01-03 20:45:00,143.568,143.594,143.465,143.561,1129
2024-01-03 21:00:00,143.562,143.73,143.466,143.692,2416
2024-01-03 21:15:00,143.692,143.692,143.253,143.277,2054
2024-01-03 21:30:00,143.278,143.343,143.136,143.249,2284
2024-01-03 21:45:00,143.25,143.316,143.213,143.238,1856
2024-01-03 22:00:00,143.237,143.277,143.164,143.216,1643
2024-01-03 22:15:00,143.215,143.271,143.12,143.243,1383
2024-01-03 22:30:00,143.244,143.264,143.207,143.225,1292
2024-01-03 22:45:00,143.225,143.241,143.184,143.239,1109
2024-01-03 23:00:00,143.241,143.264,143.231,143.244,476
2024-01-03 23:15:00,143.244,143.259,143.231,143.246,376
2024-01-03 23:30:00,143.246,143.299,143.239,143.295,300
2024-01-03 23:45:00,143.296,143.302,143.281,143.297,246
2024-01-04 00:00:00,143.207,143.238,143.201,143.213,78
2024-01-04 00:15:00,143.213,143.226,143.17,143.207,86
2024-01-04 00:30:00,143.208,143.213,143.15,143.166,109
2024-01-04 00:45:00,143.171,143.179,143.092,143.142,250
2024-01-04 01:00:00,143.141,143.149,143.046,143.048,520
2024-01-04 01:15:00,143.047,143.133,143.034,143.056,449
2024-01-04 01:30:00,143.055,143.101,143.046,143.09,493
2024-01-04 01:45:00,143.09,143.091,142.948,142.996,686
2024-01-04 02:00:00,142.996,143.023,142.881,142.91,1349
2024-01-04 02:15:00,142.909,143.022,142.852,143.019,738
2024-01-04 02:30:00,143.02,143.224,143.018,143.218,755
2024-01-04 02:45:00,143.218,143.318,143.15,143.266,1346
2024-01-04 03:00:00,143.269,143.279,143.121,143.219,895
2024-01-04 03:15:00,143.217,143.396,143.184,143.381,1149
2024-01-04 03:30:00,143.384,143.44,143.345,143.369,1016
2024-01-04 03:45:00,143.383,143.45,143.365,143.43,968
2024-01-04 04:00:00,143.43,143.432,143.35,143.402,883
2024-01-04 04:15:00,143.401,143.466,143.349,143.372,890
2024-01-04 04:30:00,143.372,143.444,143.372,143.42,410
2024-01-04 04:45:00,143.42,143.487,143.42,143.473,561
2024-01-04 05:00:00,143.473,143.473,143.372,143.422,769
2024-01-04 05:15:00,143.422,143.422,143.283,143.289,688
2024-01-04 05:30:00,143.292,143.348,143.224,143.329,950
2024-01-04 05:45:00,143.329,143.363,143.31,143.342,588
2024-01-04 06:00:00,143.342,143.392,143.33,143.382,409
2024-01-04 06:15:00,143.382,143.567,143.381,143.494,718
2024-01-04 06:30:00,143.493,143.495,143.339,143.366,748
2024-01-04 06:45:00,143.367,143.602,143.366,143.565,920
2024-01-04 07:00:00,143.566,143.676,143.566,143.632,971
2024-01-04 07:15:00,143.632,143.661,143.581,143.63,826
2024-01-04 07:30:00,143.63,143.892,143.621,143.775,1265
2024-01-04 07:45:00,143.775,143.802,143.714,143.775,1211
2024-01-04 08:00:00,143.776,143.802,143.65,143.791,1244
2024-01-04 08:15:00,143.793,143.794,143.654,143.681,1078
2024-01-04 08:30:00,143.684,143.697,143.585,143.661,1287
2024-01-04 08:45:00,143.661,143.7,143.515,143.525,906
2024-01-04 09:00:00,143.526,143.584,143.341,143.359,1577
2024-01-04 09:15:00,143.359,143.452,143.31,143.379,1457
2024-01-04 09:30:00,143.379,143.441,143.18,143.194,1607
