Time,Open,High,Low,Close,Volume
2024-01-02 00:00:00,179.216,179.259,179.215,179.243,52
2024-01-02 00:15:00,179.243,179.398,179.209,179.335,220
2024-01-02 00:30:00,179.335,179.453,179.217,179.37,300
2024-01-02 00:45:00,179.378,179.383,179.305,179.32,176
2024-01-02 01:00:00,179.32,179.406,179.269,179.296,543
2024-01-02 01:15:00,179.294,179.43,179.284,179.426,737
2024-01-02 01:30:00,179.426,179.439,179.36,179.413,673
2024-01-02 01:45:00,179.413,179.63,179.403,179.603,793
2024-01-02 02:00:00,179.603,179.68,179.597,179.673,714
2024-01-02 02:15:00,179.673,179.861,179.654,179.79,697
2024-01-02 02:30:00,179.797,179.826,179.696,179.737,547
2024-01-02 02:45:00,179.737,179.775,179.604,179.612,649
2024-01-02 03:00:00,179.618,179.763,179.611,179.74,1044
2024-01-02 03:15:00,179.738,179.876,179.72,179.861,1042
2024-01-02 03:30:00,179.861,179.987,179.807,179.885,1066
2024-01-02 03:45:00,179.888,179.966,179.888,179.919,696
2024-01-02 04:00:00,179.919,179.985,179.9,179.917,464
2024-01-02 04:15:00,179.917,179.918,179.859,179.88,518
2024-01-02 04:30:00,179.88,180.23,179.865,179.887,1140
2024-01-02 04:45:00,179.887,179.995,179.869,179.932,1022
2024-01-02 05:00:00,179.932,180.023,179.922,179.97,854
2024-01-02 05:15:00,179.97,180.107,179.945,180.097,813
2024-01-02 05:30:00,180.097,180.105,180.016,180.052,677
2024-01-02 05:45:00,180.052,180.087,179.956,179.964,541
2024-01-02 06:00:00,179.97,180.022,179.899,179.999,713
2024-01-02 06:15:00,179.999,180.018,179.951,179.953,383
2024-01-02 06:30:00,179.953,180.003,179.939,179.982,412
2024-01-02 06:45:00,179.981,179.987,179.932,179.961,367
2024-01-02 07:00:00,179.961,180.003,179.9,179.946,764
2024-01-02 07:15:00,179.946,180.014,179.923,179.992,749
2024-01-02 07:30:00,179.993,180.074,179.95,180.061,994
2024-01-02 07:45:00,180.061,180.119,180.015,180.037,800
2024-01-02 08:00:00,180.037,180.064,179.988,180.06,661
