timestamp,symbol,direction,lot,sl,tp,entry_price,result
2025-07-21 23:10:02,USDJPY,BUY,0.25,0,0,147.399,EXECUTED
2025-07-21 23:10:01,USDJPY,BUY,0.03,0,0,147.395,EXECUTED
2025-07-21 23:06:06,USDJPY,SELL,0.25,0,0,147.352,EXECUTED
2025-07-21 22:16:32,USDJPY,SELL,0.25,0,0,147.292,EXECUTED
2025-07-21 22:00:08,USDJPY,SELL,0.25,0,0,147.33,EXECUTED
2025-07-21 21:38:15,USDJPY,BUY,0.13,0,0,147.335,EXECUTED
2025-07-21 21:10:42,USDJPY,SELL,0.25,0,0,147.263,EXECUTED
2025-07-21 20:53:04,USDJPY,SELL,0.25,0,0,147.245,EXECUTED
2025-07-21 20:14:12,USDJPY,BUY,0.13,0,0,147.285,EXECUTED
2025-07-21 20:14:12,USDJPY,BUY,0.06,0,0,147.284,EXECUTED
2025-07-21 19:59:22,USDJPY,SELL,0.25,0,0,147.155,EXECUTED
2025-07-21 19:41:15,USDJPY,BUY,0.12,0,0,147.136,EXECUTED
2025-07-21 19:41:15,USDJPY,BUY,0.12,0,0,147.136,EXECUTED
2025-07-21 19:41:15,USDJPY,BUY,0.12,0,0,147.14,EXECUTED
2025-07-21 19:41:15,USDJPY,BUY,0.07,0,0,147.142,EXECUTED
2025-07-21 19:41:14,USDJPY,BUY,0.03,0,0,147.142,EXECUTED
2025-07-21 19:41:14,USDJPY,BUY,0.03,0,0,147.142,EXECUTED
2025-07-21 19:41:14,USDJPY,BUY,0.03,0,0,147.142,EXECUTED
2025-07-21 19:41:14,USDJPY,BUY,0.03,0,0,147.142,EXECUTED
2025-07-21 19:41:14,USDJPY,BUY,0.03,0,0,147.142,EXECUTED
2025-07-21 19:41:14,USDJPY,BUY,0.03,0,0,147.142,EXECUTED
2025-07-21 19:41:13,USDJPY,SELL,0.25,0,0,147.133,EXECUTED
2025-07-21 18:47:29,USDJPY,SELL,0.25,0,0,147.332,EXECUTED
2025-07-21 18:34:05,USDJPY,BUY,0.06,0,0,147.309,EXECUTED
2025-07-21 18:31:00,USDJPY,SELL,0.25,0,0,147.285,EXECUTED
2025-07-21 18:28:38,USDJPY,BUY,0.12,0,0,147.286,EXECUTED
2025-07-21 18:28:37,USDJPY,BUY,0.07,0,0,147.29,EXECUTED
2025-07-21 18:28:37,USDJPY,BUY,0.07,0,0,147.29,EXECUTED
2025-07-21 18:28:37,USDJPY,BUY,0.07,0,0,147.29,EXECUTED
2025-07-21 18:28:37,USDJPY,BUY,0.07,0,0,147.29,EXECUTED
2025-07-21 18:28:37,USDJPY,BUY,0.07,0,0,147.29,EXECUTED
2025-07-21 18:28:37,USDJPY,BUY,0.07,0,0,147.286,EXECUTED
2025-07-21 18:28:36,USDJPY,BUY,0.07,0,0,147.29,EXECUTED
2025-07-21 18:28:36,USDJPY,SELL,0.25,0,0,147.284,EXECUTED
2025-07-21 18:11:35,USDJPY,BUY,0.12,0,0,147.317,EXECUTED
2025-07-21 18:11:35,USDJPY,BUY,0.12,0,0,147.317,EXECUTED
2025-07-21 18:11:35,USDJPY,BUY,0.12,0,0,147.317,EXECUTED
2025-07-21 18:11:35,USDJPY,BUY,0.12,0,0,147.316,EXECUTED
2025-07-21 18:11:34,USDJPY,BUY,0.12,0,0,147.316,EXECUTED
2025-07-21 18:11:34,USDJPY,BUY,0.12,0,0,147.318,EXECUTED
2025-07-21 18:11:34,USDJPY,BUY,0.12,0,0,147.318,EXECUTED
2025-07-21 18:11:34,USDJPY,SELL,0.25,0,0,147.309,EXECUTED
2025-07-21 17:21:20,USDJPY,SELL,0.25,0,0,147.426,EXECUTED
2025-07-21 17:04:22,USDJPY,SELL,0.25,0,0,147.415,EXECUTED
2025-07-21 16:10:02,USDJPY,SELL,0.25,0,0,147.532,EXECUTED
2025-07-21 15:51:55,USDJPY,SELL,0.25,0,0,147.472,EXECUTED
2025-07-21 14:59:29,USDJPY,SELL,0.25,0,0,147.538,EXECUTED
2025-07-21 14:42:36,USDJPY,SELL,0.25,0,0,147.589,EXECUTED
